Cidades,Nome da cidade,País,País,Visualizações,Tempo de exibição (horas),Duração média da visualização
0x94a6666de91c2deb:0xe4ac11d6f01e3f68,Catalão,BR,BR-GO,22,0.248,0:00:40
0x94cec11f46f1007d:0xc885a2d1bf078e37,Atibaia,BR,BR-SP,22,0.1809,0:00:29
0x951968315942f59b:0x1b4734205177f47c,São Leopoldo,BR,BR-RS,22,0.3552,0:00:58
0x952142592ca52293:0xf8e8b689980101de,Tubarão,BR,BR-SC,22,0.2264,0:00:37
0xa1f575a56f36c7:0x352b824be8a084e2,Barbacena,BR,BR-MG,22,0.3015,0:00:49
0x73e2a45a6a3f323:0x946c6ae973aa35c2,Santo Antônio de Jesus,BR,BR-BA,21,0.3671,0:01:02
0x936042245d3ef5a3:0x6213e8b4f3f8fefb,Acreúna,BR,BR-GO,21,0.8469,0:02:25
0x70930cc78a6f9ff:0xdb68770589a8cabb,Paulo Afonso,BR,BR-BA,20,0.321,0:00:57
0x71669db54e018a1:0xda0908d77a4e28ad,Camaçari,BR,BR-BA,20,0.1621,0:00:29
0x79c1a9c5d138f79:0xc6310389d590337e,Picos,BR,BR-PI,20,0.2418,0:00:43
0x7ab6289b53fb53b:0xf45836ebbef680cb,Goiana,BR,BR-PE,19,0.2499,0:00:47
0x951ca36e260866f5:0x84f108595f044705,Santa Cruz do Sul,BR,BR-RS,19,0.215,0:00:40
0x976960700fa6fb:0xdecb667ffd84cc3c,Araruama,BR,BR-RJ,19,0.1785,0:00:33
0x92b75df7009952e7:0xf394b4955cec07d0,Paragominas,BR,BR-PA,18,0.1944,0:00:38
0x94909866a1f06f3d:0xeb11fc7873829cf9,Três Lagoas,BR,BR-MS,18,0.3115,0:01:02
0x94ca8d430fe13d3d:0xe33534145f319cfd,Varginha,BR,BR-MG,18,0.1875,0:00:37
0x94dd1992df425883:0x581666499c204c71,Campo Largo,BR,BR-PR,18,0.1944,0:00:38
0x94cceff3481bdbf7:0xb66dbe96dee49649,Pindamonhangaba,BR,BR-SP,17,0.1809,0:00:38
0x99b2d304f9e55f:0x7bf2f5c84f7654a5,Teresópolis,BR,BR-RJ,17,0.2004,0:00:42
0x94ccc43d2f182b09:0x4ff95ebd5d4a29a7,Guaratinguetá,BR,BR-SP,16,0.2727,0:01:01
0xd19331a61e4f33b:0x400ebbde49036d0,Lisboa,PT,PT-11,15,0.0306,0:00:07
0x7eb471b50dc8603:0x983b3c28be7f6677,Tianguá,BR,BR-CE,14,0.2116,0:00:54
0x94c53436f4f0c1cb:0xbab60b5cc9451e73,Registro,BR,BR-SP,14,0.2362,0:01:00
0x94c8b95bfb508f39:0x1ce857c1058169b4,Hortolândia,BR,BR-SP,14,0.1445,0:00:37
0x94cf2a851d59a719:0x1993f2010972ec6d,Itatiba,BR,BR-SP,14,0.2058,0:00:52
0x94eb59f61165866d:0x39f606e19c41cdfd,Cambé,BR,BR-PR,14,0.1869,0:00:48
0x9961526f46bb6d:0xd2563dabf7a4ada2,Nilópolis,BR,BR-RJ,14,0.1655,0:00:42
0x9df67fe73253c7:0x17d1c1765e1b1017,Cruzeiro,BR,BR-SP,14,0.3255,0:01:23
0x92a49b6cdf9c61df:0x79ccf2d2d6765980,Barcarena,BR,BR-PA,13,0.1785,0:00:49
