Cidades,Nome da cidade,País,País,Visualizações,Tempo de exibição (horas),Duração média da visualização
0x7aaf07ec0088f1f:0x79afc0089b9afbdc,Cabo de Santo Agostinho,BR,BR-PE,32,0.2933,0:00:32
0x94c9cbbab512b431:0x14f2aac65c4a4c81,São João da Boa Vista,BR,BR-SP,32,0.2226,0:00:25
0x94e01f2d554bdff5:0x1d1feec5ba930bb7,Lages,BR,BR-SC,32,0.2542,0:00:28
0x9630267844443b:0x9840d1e83fd0de59,Macaé,BR,BR-RJ,32,0.2402,0:00:27
0x7a09188becb5d29:0x65c67ed66be67bf3,Salgueiro,BR,BR-PE,31,0.232,0:00:26
0x99a1369b6ae9c7:0x38dca2bae1a65323,Magé,BR,BR-RJ,31,0.2581,0:00:29
0x94b6c3b51bc0dabf:0x8e4ec776339fd64d,Passos,BR,BR-MG,30,0.207,0:00:24
0x94e4b5c94098efa5:0x6b810ae0d4ebfb6a,Chapecó,BR,BR-SC,30,0.2787,0:00:33
0xa3195a230fd9d1:0x319b198b4d9bda31,Ubá,BR,BR-MG,30,0.2243,0:00:26
0x76ed4b095788d41:0xe89c8ac1ddaeedf9,Irecê,BR,BR-BA,29,0.3305,0:00:41
0x7c752fbf294fc0b:0x141b9e35d1f1f7bc,Maracanaú,BR,BR-CE,29,0.2415,0:00:29
0x978a936f151283:0xff2b16c0bfb117c4,Nova Friburgo,BR,BR-RJ,29,0.3151,0:00:39
0xa3dfe8a2b7c767:0xc6792e00ae5e1d48,Conselheiro Lafaiete,BR,BR-MG,29,0.3124,0:00:38
0x7c75a680f6344f5:0xdf7b7d96071db65d,Eusébio,BR,BR-CE,28,0.2636,0:00:33
0x92c3a11f6e9a3be7:0xd5164004425256e9,Marabá,BR,BR-PA,27,0.2047,0:00:27
0x94df47e7c38fa4b3:0xf5e4cbe02813448,Brusque,BR,BR-SC,27,0.2069,0:00:27
0x9489a825ba544f99:0xd96ef82be62edddc,Dourados,BR,BR-MS,26,0.1996,0:00:27
0x951998a6d8f26441:0x15f42daa82b66d40,Viamão,BR,BR-RS,26,0.1893,0:00:26
0x976960700fa6fb:0xdecb667ffd84cc3c,Araruama,BR,BR-RJ,26,0.1417,0:00:19
0xa1ce6415ba0a79:0xd777eca370ba8a76,São João del Rei,BR,BR-MG,26,0.2784,0:00:38
0x740af3f65676825:0x98b170b3cebd898b,Jequié,BR,BR-BA,25,0.2081,0:00:29
0x7aa54a93d22ad87:0x813856d6816ceb4b,Vitória de Santo Antão,BR,BR-PE,25,0.2319,0:00:33
0x93a77fe80bc27573:0x1207800617733e83,Sinop,BR,BR-MT,25,0.2481,0:00:35
0x94e381c302a05df7:0x7b6ae0431784abb7,Concórdia,BR,BR-SC,25,0.3371,0:00:48
0x9c5253944d458d:0xd96796845bd7fd3,Angra dos Reis,BR,BR-RJ,25,0.1153,0:00:16
